task_id,gpt-opus,gpt-gemini,gpt-5-2,gpt-sonnet,gpt-glm,openrouter/moonshotai/kimi-k2-thinking,openrouter/minimax/minimax-m2.1,openrouter/qwen/qwen3-coder:free,openrouter/mistralai/devstral-2512:free
alzheimer-mouse,100.0,100.0,100.0,100.0,0.0,100.0,100.0,66.66666666666666,50.0
comparative-genomics,100.0,85.71428571428571,100.0,100.0,50.0,80.0,87.5,50.0,83.33333333333334
cystic-fibrosis,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,25.0,12.5
deseq,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5
evolution,100.0,100.0,25.0,100.0,100.0,100.0,40.0,100.0,62.5
giab,100.0,100.0,100.0,100.0,75.0,0.0,75.0,100.0,100.0
metagenomics,100.0,100.0,100.0,25.0,100.0,25.0,100.0,66.66666666666666,33.33333333333333
single-cell,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.0,100.0
transcript-quant,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
viral-metagenomics,100.0,100.0,100.0,100.0,100.0,100.0,75.0,80.0,50.0
