run_hash,model,task_id,harness,use_reference_data,experiment_name,steps_completed,final_result_reached,steps_to_completion,completion_rate,adjusted_completion_rate
018937a6-d12e-461a-b47c-88cedae9bef0,openrouter/anthropic/claude-opus-4.7,viral-metagenomics,opencode,True,open-environment-with-reference-data,4,True,5,0.8,0.8333333333333334
0eb3b7a3-9648-437b-9907-e478a72338e5,openrouter/openai/gpt-5.5,deseq,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
10b5fb7f-43ef-4e1c-9e18-78a90fc7663c,openrouter/moonshotai/kimi-k2.6,transcript-quant,opencode,True,open-environment-with-reference-data,2,True,2,1.0,1.0
1d4b9c88-107b-4205-9146-e68907b03a8e,openrouter/anthropic/claude-opus-4.7,alzheimer-mouse,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
1e93ff33-c01a-4d5e-9a81-1c612e87eed4,openrouter/deepseek/deepseek-v4-pro,viral-metagenomics,opencode,True,open-environment-with-reference-data,0,False,5,0.0,0.0
206c1f35-faae-463f-ad01-ff64f9ca4fc9,openrouter/qwen/qwen3.7-max,single-cell,opencode,True,open-environment-with-reference-data,0,False,5,0.0,0.0
25d948ad-f288-40ad-bfdb-2b4621b37f7b,openrouter/deepseek/deepseek-v4-pro,metagenomics,opencode,True,open-environment-with-reference-data,0,False,6,0.0,0.0
286abb9a-f45c-4673-8615-149f1bf1a76e,openrouter/deepseek/deepseek-v4-pro,alzheimer-mouse,opencode,True,open-environment-with-reference-data,0,False,8,0.0,0.0
29944d02-3c1d-448f-9f12-8a324fa3a17c,openrouter/openai/gpt-5.5,transcript-quant,opencode,True,open-environment-with-reference-data,2,True,2,1.0,1.0
2b7c30a6-3ee9-46e4-b4cf-aadd98aa1c0e,openrouter/moonshotai/kimi-k2.6,deseq,opencode,True,open-environment-with-reference-data,0,False,4,0.0,0.0
2c74bb45-7b26-4d21-8485-e277cf8f9532,openrouter/qwen/qwen3.6-27b,alzheimer-mouse,opencode,True,open-environment-with-reference-data,2,False,4,0.5,0.4
33a26a28-7801-4d97-8cc5-1e2e13d93dae,openrouter/qwen/qwen3.6-27b,transcript-quant,opencode,True,open-environment-with-reference-data,1,False,3,0.3333333333333333,0.25
3529a234-52cf-4c6e-9fad-e18624bf7f5b,openrouter/anthropic/claude-opus-4.7,deseq,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
37fdd3a7-7a94-4e36-bf32-e72716419503,openrouter/qwen/qwen3.7-max,transcript-quant,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
3854b979-c049-4ca1-853f-faa51ac2bb4f,openrouter/,alzheimer-mouse,opencode,True,open-environment-with-reference-data,0,False,4,0.0,0.0
3add270a-d424-49c6-b681-860e1569ff6b,openrouter/openai/gpt-5.1,giab,opencode,True,open-environment-with-reference-data,4,True,5,0.8,0.8333333333333334
3b8dca0e-749d-4402-aef8-56c612a6beab,openrouter/openai/gpt-5.5,giab,opencode,True,open-environment-with-reference-data,4,False,5,0.8,0.6666666666666666
3c005fbd-de33-4e64-ad9a-6d0ebd9c3a35,openrouter/openai/gpt-5.1,viral-metagenomics,opencode,True,open-environment-with-reference-data,0,False,6,0.0,0.0
3c70d42e-d1d9-4403-ace2-8758f5a04cf7,openrouter/deepseek/deepseek-v4-pro,single-cell,opencode,True,open-environment-with-reference-data,0,False,6,0.0,0.0
3d8ac9ae-613c-4a89-8719-e30f6b05907c,openrouter/deepseek/deepseek-v4-pro,transcript-quant,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
3f29e552-36b3-4c7f-80eb-74dea78b8bf4,openrouter/moonshotai/kimi-k2.6,alzheimer-mouse,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
4109c28f-9771-43a1-8d91-1393c22e2b85,openrouter/moonshotai/kimi-k2.6,cystic-fibrosis,opencode,True,open-environment-with-reference-data,2,True,2,1.0,1.0
41d15363-395e-4466-af1d-4deccef97d9b,openrouter/openai/gpt-5.5,cystic-fibrosis,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
44c69dfa-ffba-465a-b65e-b1733fbfc759,openrouter/qwen/qwen3.7-max,metagenomics,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
48d438f2-f0bf-46d4-a408-a4da9d527a97,openrouter/openai/gpt-5.1,transcript-quant,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
4ccd0feb-acf7-4d30-b3de-157b87ae91d0,openrouter/anthropic/claude-opus-4.7,transcript-quant,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
51275bfd-032a-4818-b831-6bcf4c092384,openrouter/anthropic/claude-opus-4.7,metagenomics,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
57b39292-9381-46d6-a0b5-548f80a54157,openrouter/openai/gpt-5.5,evolution,opencode,True,open-environment-with-reference-data,7,True,7,1.0,1.0
587a68b7-9aac-408a-a9e4-57f21650e3f6,openrouter/moonshotai/kimi-k2.6,comparative-genomics,opencode,True,open-environment-with-reference-data,0,False,5,0.0,0.0
63ea3d42-9ef1-4c1a-9ec0-31163d7bbc9c,openrouter/moonshotai/kimi-k2.6,single-cell,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
6667c2be-4b9e-4260-ba43-fd825a8c2811,openrouter/qwen/qwen3.7-max,viral-metagenomics,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
6987e2da-4a59-4c8f-9f48-bdd1bfb76dd3,openrouter/openai/gpt-5.1,evolution,opencode,True,open-environment-with-reference-data,0,False,10,0.0,0.0
69a97ea9-3598-4bff-bf44-b7b7f065faf5,openrouter/qwen/qwen3.7-max,comparative-genomics,opencode,True,open-environment-with-reference-data,4,True,5,0.8,0.8333333333333334
6aed7aea-c090-4c5e-9b81-fe7f616462d2,openrouter/openai/gpt-5.1,single-cell,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
6cd67eef-e4aa-466d-b240-6b77df160b0b,openrouter/openai/gpt-5.1,metagenomics,opencode,True,open-environment-with-reference-data,3,False,4,0.75,0.6
71166b75-083b-478f-85de-763a813ae577,openrouter/deepseek/deepseek-v4-pro,deseq,opencode,True,open-environment-with-reference-data,0,False,4,0.0,0.0
71901b88-4bdf-4f61-a917-8a1577060cfc,openrouter/moonshotai/kimi-k2.6,evolution,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
7305d0fd-2277-41c3-bd2a-a6e35271ed55,openrouter/openai/gpt-5.5,viral-metagenomics,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
77627f16-f08c-4682-a55d-f6d134643427,openrouter/anthropic/claude-opus-4.7,comparative-genomics,opencode,True,open-environment-with-reference-data,7,True,7,1.0,1.0
